epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1895.78,2.55449,1.2378,2.28179,0.95786,0.67848,0.80107,0.64546,1.96051,1.12842,2.0129,0.000480773,0.000480773,0.000480773
43,1940.3,2.51769,1.24597,2.27529,0.66211,0.78827,0.7946,0.64811,1.98898,1.11466,2.01844,0.000478938,0.000478938,0.000478938
44,1984.88,2.56008,1.24959,2.31932,0.82656,0.89529,0.94936,0.69149,1.9795,1.11536,2.02816,0.000477104,0.000477104,0.000477104
45,2029.44,2.52244,1.21862,2.28604,0.85029,0.76836,0.8895,0.68841,2.1812,1.16575,2.05158,0.000475269,0.000475269,0.000475269
46,2073.91,2.49579,1.2312,2.26221,0.87812,0.76495,0.85429,0.6976,1.93548,1.06776,1.99103,0.000473434,0.000473434,0.000473434
47,2118.47,2.49076,1.2187,2.26229,0.72788,0.72956,0.78583,0.63512,2.18854,1.31347,2.07765,0.000471599,0.000471599,0.000471599
48,2162.9,2.4853,1.208,2.24986,0.85478,0.83785,0.87408,0.69602,2.12183,1.04972,2.01557,0.000469764,0.000469764,0.000469764
49,2207.47,2.4982,1.2369,2.27303,0.9209,0.74155,0.93065,0.70069,2.04008,1.07651,2.03611,0.00046793,0.00046793,0.00046793
50,2252,2.45931,1.18848,2.26121,0.78044,0.92336,0.9586,0.73988,2.00709,1.08874,2.01391,0.000466095,0.000466095,0.000466095
51,2296.56,2.41366,1.16953,2.21575,0.80382,0.93777,0.9528,0.76982,1.95925,1.02947,2.00952,0.00046426,0.00046426,0.00046426
52,2340.94,2.45207,1.17017,2.2489,0.92827,0.85443,0.91187,0.72293,1.98798,0.99792,2.00513,0.000462425,0.000462425,0.000462425
53,2385.31,2.42583,1.17631,2.24725,0.92021,0.89977,0.97829,0.73217,2.05512,1.02614,2.06828,0.00046059,0.00046059,0.00046059
54,2429.59,2.40185,1.1721,2.23748,0.91697,0.86823,0.97047,0.74002,1.97845,1.02044,1.9913,0.000458756,0.000458756,0.000458756
55,2473.97,2.42246,1.16156,2.25432,0.89249,0.88092,0.94689,0.73583,1.91663,1.0049,1.9929,0.000456921,0.000456921,0.000456921
56,2518.24,2.41111,1.16489,2.24254,0.88778,0.87781,0.96872,0.72588,1.93225,0.95892,1.98648,0.000455086,0.000455086,0.000455086
57,2562.76,2.37897,1.13807,2.22775,0.83449,0.85418,0.92128,0.74294,1.92108,0.95908,1.97247,0.000453251,0.000453251,0.000453251
58,2607.12,2.35079,1.14744,2.19214,0.94913,0.8387,0.97823,0.72617,2.01486,0.98769,2.00749,0.000451416,0.000451416,0.000451416
59,2651.45,2.37766,1.13797,2.22719,0.85276,0.84994,0.89525,0.72026,1.86537,0.94227,1.96656,0.000449582,0.000449582,0.000449582
60,2695.76,2.40628,1.14492,2.24271,0.78248,0.96764,0.95591,0.75727,1.89467,0.93683,1.95806,0.000447747,0.000447747,0.000447747
61,2740.12,2.36259,1.1379,2.24361,0.83293,0.91842,0.95521,0.75846,1.87731,0.98667,1.97429,0.000445912,0.000445912,0.000445912
62,2784.48,2.36346,1.14202,2.26277,0.88151,0.95717,0.98895,0.78359,1.91615,0.93821,1.97308,0.000444077,0.000444077,0.000444077
63,2828.88,2.32479,1.09376,2.20727,0.9255,0.82773,0.93703,0.74787,1.84013,0.88179,1.9543,0.000442242,0.000442242,0.000442242
64,2873.17,2.2772,1.12222,2.16909,0.90899,0.90806,0.98324,0.74134,1.87377,0.95895,1.96957,0.000440408,0.000440408,0.000440408
65,2917.65,2.3124,1.08517,2.18766,0.86066,0.93863,0.98131,0.78397,1.83115,0.94097,1.9291,0.000438573,0.000438573,0.000438573
66,2961.88,2.27508,1.09106,2.18511,0.77924,0.94269,0.93075,0.76522,1.79193,0.99935,1.94145,0.000436738,0.000436738,0.000436738
67,3006.28,2.28063,1.09615,2.1752,0.94956,0.79929,0.91648,0.74346,1.89051,0.8983,1.96862,0.000434903,0.000434903,0.000434903
68,3050.45,2.26019,1.09488,2.17346,0.87487,0.81319,0.91908,0.73734,1.94419,0.93879,1.96609,0.000433068,0.000433068,0.000433068
69,3094.79,2.27153,1.1046,2.17778,0.89992,0.93195,0.98636,0.80684,1.77306,0.83199,1.92418,0.000431234,0.000431234,0.000431234
70,3139.34,2.21689,1.05071,2.15258,0.89676,0.92241,0.96431,0.74552,1.8733,1.00538,1.93987,0.000429399,0.000429399,0.000429399
71,3183.78,2.24065,1.04047,2.16144,0.87629,0.87754,0.9203,0.77808,1.71332,0.84675,1.91135,0.000427564,0.000427564,0.000427564
72,3228.29,2.26125,1.06101,2.18565,0.88317,0.80416,0.88152,0.71292,1.94855,1.08939,1.99003,0.000425729,0.000425729,0.000425729
73,3272.64,2.20888,1.04202,2.13976,0.932,0.8996,0.99105,0.78151,1.751,0.88911,1.92497,0.000423894,0.000423894,0.000423894
74,3316.86,2.2208,1.05707,2.15207,0.92055,0.92689,0.99015,0.79428,1.72604,0.84458,1.92651,0.00042206,0.00042206,0.00042206
75,3361.37,2.25088,1.05902,2.17775,0.89171,0.92263,0.98419,0.78293,1.78525,0.855,1.93141,0.000420225,0.000420225,0.000420225
76,3405.68,2.21006,1.03789,2.14283,0.93199,0.90207,0.98447,0.75953,1.84118,0.89385,1.94198,0.00041839,0.00041839,0.00041839
77,3450.15,2.211,1.03385,2.1582,0.92466,0.92624,0.98412,0.79857,1.71479,0.86479,1.90017,0.000416555,0.000416555,0.000416555
78,3494.44,2.17784,1.02413,2.13777,0.9494,0.94128,0.98994,0.79275,1.68846,0.846,1.90189,0.00041472,0.00041472,0.00041472
79,3538.72,2.201,1.04262,2.13322,0.97796,0.90612,0.98219,0.80216,1.70646,0.82956,1.90387,0.000412886,0.000412886,0.000412886
80,3583.12,2.17769,1.02673,2.13855,0.90007,0.89325,0.9906,0.79752,1.69522,0.79961,1.89436,0.000411051,0.000411051,0.000411051
81,3627.59,2.14374,0.98324,2.11783,0.89946,0.96344,0.99059,0.79871,1.79642,0.81641,1.92025,0.000409216,0.000409216,0.000409216
82,3671.89,2.10715,1.01835,2.11466,0.89084,0.94831,0.97029,0.75575,1.75555,0.84939,1.93762,0.000407381,0.000407381,0.000407381
83,3716.28,2.12891,1.01171,2.11767,0.87939,0.9472,0.99053,0.77601,1.62835,0.83202,1.89916,0.000405546,0.000405546,0.000405546
84,3760.55,2.16317,1.051,2.12075,0.92529,0.90468,0.9738,0.76883,1.71572,0.86442,1.94438,0.000403712,0.000403712,0.000403712
85,3804.96,2.10255,0.98116,2.10101,0.96256,0.89702,0.98984,0.78709,1.72969,0.82183,1.93555,0.000401877,0.000401877,0.000401877
86,3849.34,2.08794,0.97343,2.11589,0.91412,0.92809,0.98384,0.79845,1.656,0.7845,1.89122,0.000400042,0.000400042,0.000400042
87,3893.68,2.05533,0.95916,2.07248,0.94957,0.84863,0.95788,0.78169,1.62408,0.74052,1.86984,0.000398207,0.000398207,0.000398207
88,3938.02,2.09372,0.99489,2.10954,0.92202,0.9277,0.97729,0.7979,1.57025,0.74788,1.86309,0.000396372,0.000396372,0.000396372
89,3982.43,2.1013,0.98777,2.10391,0.94798,0.91562,0.99026,0.7764,1.63551,0.79935,1.89369,0.000394538,0.000394538,0.000394538
90,4026.82,2.10946,0.96807,2.1203,0.93479,0.9417,0.98986,0.83213,1.52638,0.7736,1.8675,0.000392703,0.000392703,0.000392703
91,4071.23,2.04299,0.9619,2.08474,0.93302,0.90876,0.99129,0.81268,1.54164,0.72098,1.85841,0.000390868,0.000390868,0.000390868
92,4115.54,2.05117,0.96274,2.08777,0.90123,0.96314,0.9925,0.80122,1.63037,0.73544,1.88214,0.000389033,0.000389033,0.000389033
93,4159.96,2.04536,0.96648,2.07754,0.90732,0.82999,0.95846,0.79272,1.57244,0.75521,1.86848,0.000387198,0.000387198,0.000387198
94,4204.42,2.04723,0.96078,2.09268,0.8777,0.96126,0.99119,0.8189,1.53251,0.74267,1.84886,0.000385364,0.000385364,0.000385364
95,4248.82,2.03514,0.9383,2.07897,0.95342,0.95384,0.99145,0.81375,1.50214,0.72997,1.84807,0.000383529,0.000383529,0.000383529
96,4293.23,2.03162,0.95756,2.08229,0.9186,0.87454,0.95839,0.80033,1.52067,0.7392,1.85151,0.000381694,0.000381694,0.000381694
97,4337.64,1.99728,0.94833,2.06279,0.95222,0.91233,0.99214,0.83504,1.51782,0.7112,1.83325,0.000379859,0.000379859,0.000379859
98,4382.05,2.02095,0.95694,2.06754,0.90926,0.96247,0.99054,0.81931,1.54108,0.77087,1.85689,0.000378024,0.000378024,0.000378024
99,4426.5,2.00397,0.93713,2.05227,0.9375,0.85291,0.9588,0.81379,1.62225,0.74573,1.86704,0.00037619,0.00037619,0.00037619
100,4470.9,1.97185,0.92624,2.04312,0.93138,0.9766,0.99232,0.84983,1.46945,0.69221,1.83249,0.000374355,0.000374355,0.000374355
101,4515.37,1.98979,0.93416,2.05914,0.87426,0.88442,0.95754,0.7967,1.54665,0.72719,1.84437,0.00037252,0.00037252,0.00037252
102,4559.75,1.973,0.9241,2.05856,0.85834,0.92623,0.95894,0.80768,1.44369,0.7417,1.83447,0.000370685,0.000370685,0.000370685
103,4604.19,1.96124,0.91131,2.05496,0.8228,0.98662,0.95913,0.81196,1.49036,0.74626,1.83943,0.00036885,0.00036885,0.00036885
104,4648.46,1.95855,0.92679,2.0605,0.92515,0.94888,0.99175,0.82313,1.42781,0.7262,1.82116,0.000367016,0.000367016,0.000367016
105,4692.83,1.91899,0.90629,2.03893,0.93819,0.94896,0.99183,0.80887,1.51814,0.69049,1.82538,0.000365181,0.000365181,0.000365181
106,4737.21,1.9803,0.93055,2.06242,0.92641,0.94172,0.99085,0.81455,1.38251,0.6956,1.8057,0.000363346,0.000363346,0.000363346
107,4781.62,1.93167,0.93971,2.0513,0.93649,0.94912,0.99237,0.83506,1.36597,0.66819,1.80292,0.000361511,0.000361511,0.000361511
108,4825.93,1.91557,0.91867,2.04905,0.95515,0.92154,0.99177,0.81673,1.45411,0.69247,1.81474,0.000359676,0.000359676,0.000359676
109,4870.33,1.91699,0.89688,2.03957,0.94191,0.9188,0.992,0.80967,1.38514,0.65631,1.80878,0.000357842,0.000357842,0.000357842
110,4914.69,1.87549,0.88223,2.0119,0.90612,0.96418,0.99191,0.8512,1.34283,0.65198,1.79396,0.000356007,0.000356007,0.000356007
111,4959.04,1.91059,0.90663,2.02801,0.96793,0.91575,0.99111,0.83608,1.38337,0.68442,1.80145,0.000354172,0.000354172,0.000354172
112,5003.31,1.90329,0.93493,2.034,0.94424,0.92533,0.9921,0.84281,1.39322,0.66599,1.79758,0.000352337,0.000352337,0.000352337
113,5047.54,1.87412,0.88933,2.01076,0.92948,0.95814,0.99218,0.84829,1.39426,0.67217,1.79687,0.000350502,0.000350502,0.000350502
114,5091.79,1.90201,0.8884,2.02976,0.95337,0.93052,0.99291,0.86581,1.32646,0.63499,1.77813,0.000348668,0.000348668,0.000348668
115,5136.2,1.86928,0.88588,2.00668,0.9611,0.84658,0.95838,0.85125,1.33336,0.65164,1.78106,0.000346833,0.000346833,0.000346833
116,5180.54,1.86115,0.89037,2.00979,0.91743,0.97774,0.99043,0.81901,1.35394,0.69311,1.78502,0.000344998,0.000344998,0.000344998
117,5224.92,1.8927,0.90065,2.01207,0.90334,0.956,0.99237,0.84521,1.34167,0.67745,1.78698,0.000343163,0.000343163,0.000343163
118,5269.31,1.87248,0.87042,2.01708,0.9564,0.87142,0.95888,0.82877,1.35317,0.63275,1.78981,0.000341328,0.000341328,0.000341328
119,5313.76,1.863,0.88622,2.00538,0.91436,0.88291,0.99272,0.8111,1.32181,0.64415,1.78517,0.000339494,0.000339494,0.000339494
120,5357.98,1.83442,0.87158,1.98661,0.94223,0.86234,0.95906,0.79952,1.33935,0.63932,1.78098,0.000337659,0.000337659,0.000337659
121,5402.39,1.8649,0.88285,2.00356,0.95227,0.91671,0.99287,0.81693,1.30932,0.62789,1.76609,0.000335824,0.000335824,0.000335824
122,5446.69,1.81453,0.85825,1.98059,0.92226,0.94963,0.99246,0.85584,1.28404,0.63027,1.77044,0.000333989,0.000333989,0.000333989
123,5491.11,1.81477,0.85414,1.97899,0.9194,0.96343,0.99311,0.85818,1.25418,0.61118,1.76517,0.000332154,0.000332154,0.000332154
124,5535.42,1.80017,0.86779,1.97752,0.80707,0.97296,0.959,0.84452,1.2912,0.67544,1.77676,0.00033032,0.00033032,0.00033032
125,5579.8,1.79371,0.86202,1.97863,0.91751,0.95518,0.99354,0.8459,1.31268,0.61271,1.76112,0.000328485,0.000328485,0.000328485
126,5624.16,1.80591,0.87914,1.98063,0.91506,0.96684,0.99393,0.84525,1.27778,0.59853,1.74968,0.00032665,0.00032665,0.00032665
127,5668.57,1.78733,0.86732,1.97268,0.81042,0.97312,0.96065,0.82957,1.34516,0.63332,1.7595,0.000324815,0.000324815,0.000324815
128,5712.94,1.75869,0.8296,1.95523,0.94813,0.85368,0.92691,0.83388,1.30795,0.60185,1.75301,0.00032298,0.00032298,0.00032298
129,5757.33,1.78923,0.85977,1.97004,0.93537,0.83993,0.95972,0.8451,1.24836,0.63677,1.75354,0.000321146,0.000321146,0.000321146
130,5801.7,1.7656,0.82894,1.9589,0.94385,0.87268,0.9603,0.86828,1.23441,0.57863,1.76247,0.000319311,0.000319311,0.000319311
131,5846.05,1.78427,0.84135,1.97046,0.94043,0.93911,0.99392,0.8923,1.23103,0.55379,1.74854,0.000317476,0.000317476,0.000317476
132,5890.56,1.75976,0.83413,1.95939,0.94858,0.84475,0.95987,0.8191,1.23509,0.57434,1.74056,0.000315641,0.000315641,0.000315641
133,5934.92,1.74961,0.84049,1.94955,0.96057,0.9063,0.99329,0.84745,1.22797,0.57224,1.73761,0.000313806,0.000313806,0.000313806
134,5979.31,1.74385,0.83289,1.95854,0.92246,0.96006,0.99338,0.87798,1.17355,0.55229,1.72212,0.000311972,0.000311972,0.000311972
135,6023.76,1.73595,0.81244,1.94669,0.93665,0.92657,0.99383,0.87725,1.15646,0.56162,1.71206,0.000310137,0.000310137,0.000310137
136,6068.12,1.73349,0.82004,1.94892,0.956,0.89687,0.99266,0.88193,1.17146,0.59645,1.7159,0.000308302,0.000308302,0.000308302
137,6112.51,1.7261,0.82923,1.95671,0.92918,0.94175,0.99398,0.88741,1.19903,0.55547,1.73749,0.000306467,0.000306467,0.000306467
138,6156.77,1.7492,0.84072,1.95971,0.94136,0.93782,0.99374,0.89076,1.18677,0.55349,1.72333,0.000304632,0.000304632,0.000304632
139,6201.22,1.74831,0.81833,1.94539,0.93849,0.93136,0.99362,0.86771,1.18856,0.57127,1.74209,0.000302798,0.000302798,0.000302798
140,6245.59,1.7109,0.80344,1.94084,0.92354,0.93668,0.99334,0.84464,1.26306,0.57531,1.75355,0.000300963,0.000300963,0.000300963
141,6289.88,1.72002,0.81438,1.94027,0.95489,0.92583,0.99365,0.86349,1.2105,0.5502,1.73909,0.000299128,0.000299128,0.000299128
142,6334.24,1.69489,0.80725,1.94396,0.95117,0.91172,0.99297,0.88535,1.16278,0.57149,1.72175,0.000297293,0.000297293,0.000297293
